id,study_id,doi,year,journal,title,realm,host_kingdom,host_phylum,host_class,host_order,host_family,host_genus,host_species,host_common_name,host_latin_name,environment,environment_sub,environment_sub_sub,animal_gut,sequencing_platform,dna_extraction_method,dna_extraction_material,dna_extraction_unit,dna_extraction_amount,location,city,latitude,longitude,Abstract,dataset
ERR1331785,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331792,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331808,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331817,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331818,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331819,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331820,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331821,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331822,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
ERR1331823,61,10.1186/s40168-016-0171-4,2016,"Microbiome","Reduced diversity and altered composition of the gut microbiome in individuals with myalgic encephalomyelitis/chronic fatigue syndrome",Organism,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Sapiens,Human,Homo sapiens,Human,Feces,null,Yes,Illumina MiSeq,"MoBio PowerSoil DNA extraction kit","Fecal samples from humans","mass","0.1 g",USA,"New York",40.712,-74.005,"Gastrointestinal disturbances are among symptoms commonly reported by individuals diagnosed with myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). However, whether ME/CFS is associated with an altered microbiome has remained uncertain. Here, we profiled gut microbial diversity by sequencing 16S ribosomal ribonucleic acid (rRNA) genes from stool as well as inflammatory markers from serum for cases (n=48) and controls (n=39). We also examined a set of inflammatory markers in blood: C-reactive protein (CRP), intestinal fatty acid-binding protein (I-FABP), lipopolysaccharide (LPS), LPS-binding protein (LBP), and soluble CD14 (sCD14).We observed elevated levels of some blood markers for microbial translocation in ME/CFS patients; levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP correlated with LPS and sCD14 and LPS levels correlated with sCD14. Through deep sequencing of bacterial rRNA markers, we identified differences between the gut microbiomes of healthy individuals and patients with ME/CFS. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular, a reduction in the relative abundance and diversity of members belonging to the Firmicutes phylum. In the patient cohort, we find less diversity as well as increases in specific species often reported to be pro-inflammatory species and reduction in species frequently described as anti-inflammatory. Using a machine learning approach trained on the data obtained from 16S rRNA and inflammatory markers, individuals were classified correctly as ME/CFS with a cross-validation accuracy of 82.93 %.sOur results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms in ME/CFS.",MiCoDa
